Título,valor,Páginas,Data de Publicação,Processado em,Avaliação,Tipo,Universo
Akira - Vol. 1 (JBC),"R$ 35,92",362,01/06/2017,15/11/2017,,Manga,Manga
Berserk Vol. 1,"R$ 29,70",232,01/08/2014,10/03/2024,,Manga,Manga
Berserk Vol. 10,"R$ 29,70",232,01/02/2016,21/05/2025,,Manga,Manga
Berserk Vol. 11,"R$ 34,90",240,01/04/2016,11/01/2025,,Manga,Manga
Berserk Vol. 12,"R$ 29,70",232,01/06/2016,08/12/2024,,Manga,Manga
Berserk Vol. 13,"R$ 59,90",240,01/08/2016,09/04/2025,,Manga,Manga
Berserk Vol. 14,"R$ 34,90",232,01/10/2016,02/06/2025,,Manga,Manga
Berserk Vol. 15,"R$ 73,50",232,01/12/2016,19/06/2025,,Manga,Manga
Berserk Vol. 19,"R$ 25,00",248,01/08/2017,15/09/2025,,Manga,Manga
Berserk Vol. 2,"R$ 34,90",240,01/10/2014,24/06/2024,,Manga,Manga
Berserk Vol. 20,"R$ 35,92",232,01/10/2017,27/11/2025,,Manga,Manga
Berserk Vol. 21,"R$ 37,18",232,01/12/2017,08/10/2025,,Manga,Manga
Berserk Vol. 22,"R$ 32,58",232,01/02/2018,06/11/2025,,Manga,Manga
Berserk Vol. 23,"R$ 33,68",232,01/04/2018,12/11/2025,,Manga,Manga
Berserk Vol. 24,"R$ 33,68",224,01/06/2018,12/11/2025,,Manga,Manga
Berserk Vol. 3,"R$ 29,70",232,01/12/2014,11/07/2024,,Manga,Manga
Berserk Vol. 31,"R$ 33,68",232,01/08/2019,12/11/2025,,Manga,Manga
Berserk Vol. 32,"R$ 33,68",216,01/10/2019,12/11/2025,,Manga,Manga
Berserk Vol. 33,"R$ 33,68",240,01/01/2020,12/11/2025,,Manga,Manga
Berserk Vol. 35,"R$ 44,90",216,01/04/2020,12/11/2025,,Manga,Manga
Berserk Vol. 36,"R$ 44,90",216,01/06/2020,12/11/2025,,Manga,Manga
Berserk Vol. 4,"R$ 34,90",232,01/02/2015,12/08/2024,,Manga,Manga
Berserk Vol. 42 (Tarot),"R$ 199,90",184,01/06/2024,10/12/2024,,Manga,Manga
Berserk Vol. 5,"R$ 29,67",244,01/04/2015,01/10/2024,,Manga,Manga
Berserk Vol. 6,"R$ 20,94",224,01/06/2015,07/11/2024,,Manga,Manga
Berserk Vol. 7,"R$ 59,90",224,01/08/2015,09/02/2025,,Manga,Manga
Berserk Vol. 8,"R$ 33,00",232,01/10/2015,09/02/2025,,Manga,Manga
