Título,valor,Páginas,Data de Publicação,Processado em,Avaliação,Tipo,Universo
Berserk Vol. 9,"R$ 49,90",232,01/12/2015,04/03/2025,,Manga,Manga
Blood Lad Vol. 1,"R$ 10,90",184,01/12/2011,01/08/2012,,Manga,Manga
Blood Lad Vol. 2,"R$ 10,90",184,01/01/2012,01/11/2012,,Manga,Manga
Blood Lad Vol. 3,"R$ 10,90",184,01/03/2012,20/06/2017,,Manga,Manga
Blood Lad Vol. 4,"R$ 10,90",184,01/07/2012,20/06/2017,,Manga,Manga
Blood Lad Vol. 5,"R$ 10,90",184,01/09/2012,20/06/2017,,Manga,Manga
Blood Lad Vol. 6,"R$ 10,90",184,01/04/2013,29/06/2017,,Manga,Manga
Blood Lad Vol. 7,"R$ 10,90",184,01/05/2013,29/06/2017,,Manga,Manga
Blood Lad Vol. 8,"R$ 10,90",188,01/11/2013,29/06/2017,,Manga,Manga
Blood Lad Vol. 9,"R$ 10,90",178,01/02/2014,17/07/2017,,Manga,Manga
Cyberpunk: Edgerunners Madness 01,"R$ 38,32",32,01/01/2026,27/11/2025,,Manga,Manga
Delicious in Dungeon Vol. 1,"R$ 39,90",184,01/03/2024,10/03/2024,,Manga,Manga
Delicious in Dungeon Vol. 10,"R$ 39,90",194,01/01/2025,09/02/2025,,Manga,Manga
Delicious in Dungeon Vol. 11,"R$ 39,50",192,01/03/2025,04/03/2025,,Manga,Manga
Delicious in Dungeon Vol. 12,"R$ 40,78",192,01/05/2025,09/04/2025,,Manga,Manga
Delicious in Dungeon Vol. 13,"R$ 32,90",192,01/06/2025,02/06/2025,,Manga,Manga
Delicious in Dungeon Vol. 14,"R$ 36,58",192,01/06/2025,02/06/2025,,Manga,Manga
Delicious in Dungeon Vol. 2,"R$ 33,12",184,01/04/2024,24/06/2024,,Manga,Manga
Delicious in Dungeon Vol. 3,"R$ 33,25",176,01/05/2024,11/07/2024,,Manga,Manga
Delicious in Dungeon Vol. 4,"R$ 29,93",192,01/06/2024,12/08/2024,,Manga,Manga
Delicious in Dungeon Vol. 5,"R$ 35,90",176,01/07/2024,01/10/2024,,Manga,Manga
Delicious in Dungeon Vol. 6,"R$ 29,93",208,01/07/2024,07/11/2024,,Manga,Manga
Delicious in Dungeon Vol. 7,"R$ 35,90",184,01/09/2024,08/12/2024,,Manga,Manga
Delicious in Dungeon Vol. 8,"R$ 33,92",192,01/09/2024,10/01/2025,,Manga,Manga
Delicious in Dungeon Vol. 9,"R$ 39,90",208,01/11/2024,11/01/2025,,Manga,Manga
Dr. Slump - Volume 1,"R$ 10,90",240,01/12/2017,09/02/2018,,Manga,Manga
Dr. Slump - Volume 2,"R$ 9,90",240,01/02/2018,23/04/2018,,Manga,Manga
Dragon Ball Super Vol. 1 (English Ed.),"R$ 28,60",192,01/05/2017,12/12/2017,,Manga,Manga
Dragon Ball Super Vol. 2 (English Ed.),"R$ 30,96",216,01/12/2017,15/08/2018,,Manga,Manga
Dragon Ball Super Vol. 3,"R$ 18,60",192,01/10/2018,30/04/2019,,Manga,Manga
Frieren e a Jornada para o Além Vol. 1,"R$ 29,70",192,01/07/2022,24/06/2024,,Manga,Manga
Frieren e a Jornada para o Além Vol. 10,"R$ 28,43",194,01/09/2024,07/11/2024,,Manga,Manga
Frieren e a Jornada para o Além Vol. 11,"R$ 29,93",192,01/10/2024,12/11/2025,,Manga,Manga
Frieren e a Jornada para o Além Vol. 12,"R$ 29,93",192,01/01/2025,12/11/2025,,Manga,Manga
Frieren e a Jornada para o Além Vol. 13,"R$ 31,92",192,01/12/2025,27/11/2025,,Manga,Manga
Frieren e a Jornada para o Além Vol. 14,"R$ 32,93",192,01/01/2026,27/11/2025,,Manga,Manga
Frieren e a Jornada para o Além Vol. 2,0,192,16/08/2022,21/02/2025,,Manga,Manga
Frieren e a Jornada para o Além Vol. 3,"R$ 29,70",192,01/09/2022,11/07/2024,,Manga,Manga
Frieren e a Jornada para o Além Vol. 4,"R$ 26,18",192,01/10/2022,12/08/2024,,Manga,Manga
Frieren e a Jornada para o Além Vol. 5,"R$ 37,90",192,01/01/2023,01/10/2024,,Manga,Manga
Frieren e a Jornada para o Além Vol. 6,"R$ 39,90",192,01/01/2023,09/04/2025,,Manga,Manga
Jojo's Bizarre Adventure - Parte 1: Phantom Blood - Vol. 1,"R$ 21,51",336,01/07/2018,18/07/2018,,Manga,Manga
Jojo's Bizarre Adventure - Parte 7 - Steel Ball Run Vol. 3,"R$ 37,40",312,01/01/2025,18/11/2025,,Manga,Manga
Jojo's Bizarre Adventure - Parte 7 - Steel Ball Run Vol. 4,"R$ 41,18",320,01/03/2025,12/11/2025,,Manga,Manga
Jojo's Bizarre Adventure - Parte 7 - Steel Ball Run Vol. 5,"R$ 41,18",344,01/05/2025,27/11/2025,,Manga,Manga
Jojo's Bizarre Adventure - Parte 7 - Steel Ball Run Vol. 6,"R$ 41,18",328,01/07/2025,27/11/2025,,Manga,Manga
Jojo's Bizarre Adventure – Part 2: Battle Tendency 01,"R$ 23,90",368,01/01/2019,30/04/2019,,Manga,Manga
Katsura / Akira - Vol. Único,"R$ 9,70",212,01/07/2017,19/10/2017,,Manga,Manga
Lobo Solitário - Vol. 1,"R$ 18,90",296,01/12/2016,17/07/2017,,Manga,Manga
Lobo Solitário - Vol. 2,"R$ 15,12",304,01/02/2017,22/08/2017,,Manga,Manga
My Hero Academia - Vol. 1,"R$ 7,76",192,01/10/2016,22/08/2017,,Manga,Manga
My Hero Academia - Vol. 2,"R$ 7,76",192,01/11/2016,22/08/2017,,Manga,Manga
My Hero Academia - Vol. 3,"R$ 7,92",192,01/01/2017,22/08/2017,,Manga,Manga
My Hero Academia - Vol. 4,"R$ 8,32",192,01/03/2017,27/09/2017,,Manga,Manga
My Hero Academia - Vol. 5,"R$ 10,40",192,01/05/2017,25/09/2017,,Manga,Manga
My Hero Academia - Vol. 6,"R$ 8,72",192,01/12/2016,23/10/2017,,Manga,Manga
My Hero Academia - Vol. 8,"R$ 9,90",192,01/03/2017,23/04/2018,,Manga,Manga
My Hero Academia - Vol. 9,"R$ 12,00",192,01/05/2017,12/07/2018,,Manga,Manga
Nisekoi Vol. 1,"R$ 13,90",200,01/02/2017,01/04/2017,,Manga,Manga
Nisekoi Vol. 2,"R$ 13,90",200,01/03/2017,01/06/2017,,Manga,Manga
Nisekoi Vol. 3,"R$ 13,90",200,01/04/2017,01/08/2017,,Manga,Manga
Nisekoi Vol. 4,"R$ 13,90",200,01/05/2017,01/10/2017,,Manga,Manga
Nisekoi Vol. 5,"R$ 13,90",200,01/06/2017,01/12/2017,,Manga,Manga
Nisekoi Vol. 6,"R$ 11,10",200,01/07/2017,09/02/2018,,Manga,Manga
Nisekoi Vol. 7,"R$ 9,40",200,01/09/2017,23/04/2018,,Manga,Manga
Nisekoi Vol. 8,"R$ 11,90",200,01/11/2017,12/07/2018,,Manga,Manga
Noragami Vol. 1,"R$ 13,90",200,01/07/2016,01/06/2017,,Manga,Manga
Noragami Vol. 2,"R$ 13,90",200,01/08/2016,01/07/2017,,Manga,Manga
Noragami Vol. 3,"R$ 8,72",200,01/07/2016,22/08/2017,,Manga,Manga
Noragami Vol. 4,"R$ 9,90",200,01/09/2016,25/09/2017,,Manga,Manga
Noragami Vol. 5,"R$ 9,52",200,01/11/2016,23/10/2017,,Manga,Manga
Noragami Vol. 6,"R$ 9,90",204,01/01/2017,15/11/2017,,Manga,Manga
Noragami Vol. 7,"R$ 9,90",200,01/03/2017,15/11/2017,,Manga,Manga
Noragami Vol. 8,"R$ 13,90",200,01/05/2017,01/03/2018,,Manga,Manga
Noragami Vol. 9,"R$ 10,12",200,01/07/2017,13/05/2018,,Manga,Manga
One-Punch Man Vol. 1,"R$ 16,90",200,01/03/2016,01/05/2017,,Manga,Manga
One-Punch Man Vol. 10,"R$ 11,92",208,01/03/2017,23/10/2017,,Manga,Manga
One-Punch Man Vol. 11,"R$ 16,90",208,01/01/2018,01/05/2018,,Manga,Manga
One-Punch Man Vol. 12,"R$ 14,70",216,01/03/2018,12/07/2018,,Manga,Manga
One-Punch Man Vol. 13,"R$ 16,00",200,01/05/2018,15/08/2018,,Manga,Manga
One-Punch Man Vol. 14,"R$ 13,90",208,01/07/2018,15/08/2018,,Manga,Manga
One-Punch Man Vol. 15,"R$ 13,80",208,01/12/2018,30/04/2019,,Manga,Manga
One-Punch Man Vol. 16,"R$ 13,90",216,01/03/2019,30/04/2019,,Manga,Manga
One-Punch Man Vol. 2,"R$ 16,90",216,01/05/2016,17/07/2017,,Manga,Manga
One-Punch Man Vol. 7,"R$ 11,12",208,01/09/2016,22/08/2017,,Manga,Manga
One-Punch Man Vol. 8,"R$ 16,90",208,01/11/2016,01/08/2017,,Manga,Manga
One-Punch Man Vol. 9,"R$ 10,00",216,01/01/2017,27/09/2017,,Manga,Manga
Pluto - Volume 1,"R$ 15,10",200,01/12/2017,09/02/2018,,Manga,Manga
Sherlock - Um Estudo Em Rosa,"R$ 12,72",216,01/01/2017,22/08/2017,,Manga,Manga
The Ghost In The Shell,"R$ 35,92",352,01/12/2016,15/11/2017,,Manga,Manga
The Legend of Zelda: Ocarina of Time,"R$ 29,90",384,01/12/2017,25/01/2018,,Manga,Manga
UQ Holder! Vol. 1,"R$ 14,90",200,01/04/2016,29/06/2017,,Manga,Manga
UQ Holder! Vol. 10,"R$ 12,90",168,01/10/2017,25/01/2018,,Manga,Manga
UQ Holder! Vol. 11,"R$ 9,70",168,01/01/2018,23/04/2018,,Manga,Manga
UQ Holder! Vol. 12,"R$ 12,20",168,01/04/2018,23/04/2018,,Manga,Manga
UQ Holder! Vol. 3,"R$ 14,90",168,01/08/2016,01/08/2017,,Manga,Manga
UQ Holder! Vol. 4,"R$ 14,90",168,01/11/2016,01/09/2017,,Manga,Manga
UQ Holder! Vol. 5,"R$ 14,90",168,01/02/2017,01/09/2017,,Manga,Manga
UQ Holder! Vol. 6,"R$ 11,90",168,01/04/2017,25/09/2017,,Manga,Manga
UQ Holder! Vol. 7,"R$ 8,90",168,01/06/2017,19/10/2017,,Manga,Manga
UQ Holder! Vol. 8,"R$ 9,90",192,01/07/2017,25/09/2017,,Manga,Manga
UQ Holder! Vol. 9,"R$ 15,50",192,01/09/2017,25/09/2017,,Manga,Manga
Another Vol. 1,"R$ 13,90",192,01/02/2013,01/04/2013,,Manga,Manga
Another Vol. 2,"R$ 13,90",192,01/03/2013,01/06/2013,,Manga,Manga
Another Vol. 3,"R$ 13,90",192,01/04/2013,01/07/2013,,Manga,Manga
Another Vol. 4,"R$ 13,90",192,01/05/2013,01/08/2013,,Manga,Manga
Diário do Futuro Vol. 1,"R$ 13,90",208,01/01/2013,01/05/2013,,Manga,Manga
Diário do Futuro Vol. 2,"R$ 13,90",200,01/02/2013,01/05/2013,,Manga,Manga
Diário do Futuro Vol. 3,"R$ 13,90",200,01/03/2013,01/04/2013,,Manga,Manga
Diário do Futuro Vol. 4,"R$ 13,90",200,01/04/2013,01/06/2013,,Manga,Manga
Diário do Futuro Vol. 5,"R$ 13,90",200,01/05/2013,01/07/2013,,Manga,Manga
Diário do Futuro Vol. 6,"R$ 13,90",200,01/06/2013,01/08/2013,,Manga,Manga
Diário do Futuro Vol. 7,"R$ 13,90",200,01/07/2013,01/09/2013,,Manga,Manga
Diário do Futuro Vol. 8,"R$ 13,90",200,01/08/2013,01/10/2013,,Manga,Manga
Diário do Futuro Vol. 9,"R$ 13,90",200,01/09/2013,01/11/2013,,Manga,Manga
Diário do Futuro Vol. 10,"R$ 13,90",200,01/10/2013,01/12/2013,,Manga,Manga
Diário do Futuro Vol. 11,"R$ 13,90",200,01/11/2013,01/01/2014,,Manga,Manga
Diário do Futuro Vol. 12,"R$ 13,90",216,01/12/2013,01/02/2014,,Manga,Manga
